#{"t_start": 1780401903.7623403, "env_id": "None"}
r,l,t
-287.18317,21,85.347163
-257.5843,22,85.414416
-258.73422,22,85.48017
-269.86816,37,85.586858
-295.47754,25,85.670057
-292.93536,23,85.763498
-292.14154,21,85.844687
-61.418762,22,85.911601
-281.94485,39,86.026792
-271.67142,20,86.097344
-270.84778,31,86.184681
-259.4025,22,86.248888
-284.36884,29,86.340198
-273.4924,41,86.464298
-271.81555,14,86.511235
-157.74881,23,86.598755
-271.12256,25,86.673885
-311.28036,26,87.764924
-273.43472,26,87.854429
-286.75534,16,87.910621
-286.9727,43,88.043665
-262.08743,62,88.248484
-289.99548,28,88.343098
-355.2219,23,88.421276
-278.26163,25,88.497936
-261.77954,12,88.533032
-265.09866,27,88.614386
-273.04782,18,88.67748
-268.8835,39,88.786425
-269.86172,28,88.861686
-257.69946,17,88.906706
-278.78174,26,88.980234
-61.182808,22,89.060323
-99.79829,25,89.158276
-291.83597,26,89.245803
-275.16754,25,89.336339
-294.3956,25,90.609264
-273.0935,20,90.681469
-276.91452,31,90.795606
-268.2406,26,90.878489
-289.8032,44,91.00283
-149.83264,19,91.059819
-276.6938,21,91.125354
-286.72403,15,91.170536
-297.56995,42,91.311652
-282.22,36,91.418967
-266.38287,30,91.532879
-262.13525,17,91.595634
-271.89288,32,91.691327
-266.20847,30,91.786804
-299.12277,30,91.889195
-270.62164,19,91.947748
-257.5196,31,92.03245
-269.49213,24,92.101604
-214.15344,31,93.22095
-268.62207,28,93.330389
-155.0206,32,93.436291
-280.63647,63,93.623982
-267.62793,24,93.698312
-273.5346,24,93.777851
-289.87924,23,93.853189
-258.66806,22,93.91545
-266.98868,29,94.000615
-289.08524,18,94.062591
-283.6357,28,94.150196
-299.209,66,94.371597
-312.0765,18,94.431732
-265.603,29,94.513902
-267.36118,18,94.567904
-269.46817,24,94.648272
-279.59677,29,94.783478
-261.56342,14,94.83871
-328.0085,18,94.91361
-283.90518,28,96.12129
-304.9536,21,96.184805
-275.538,33,96.289025
-261.05444,31,96.374262
-293.63577,22,96.448454
-267.39978,27,96.543478
-275.6207,23,96.628228
-276.1509,29,96.717434
-257.03256,13,96.764513
-269.1234,19,96.825462
-267.79272,25,96.905498
-278.1629,21,96.975895
-271.33865,32,97.071212
-117.79057,29,97.154692
-289.44666,23,97.230919
-148.11897,30,97.325492
-265.57657,24,97.405801
-275.6626,23,97.480377
-296.62952,17,97.532637
-268.0332,20,97.591496
-295.41348,45,98.761745
-262.0424,19,98.828209
-266.52216,24,98.911045
-273.22354,22,98.999199
-299.01758,19,99.074502
-279.55038,29,99.167643
-258.6336,19,99.228273
-293.3345,29,99.329618
-268.9549,32,99.445285
-264.8615,21,99.517316
-304.1573,31,99.625333
-283.98587,23,99.700181
-305.0675,18,99.753379
-286.41306,55,99.931038
-262.28882,36,100.038113
-273.75018,23,100.114629
-279.70752,26,100.194131
-277.2739,30,100.293583
-270.89496,25,100.369032
-153.13586,25,101.517964
-277.28125,30,101.612821
-290.4909,42,101.740803
-287.37015,31,101.82658
-291.51572,30,101.917203
-266.97858,20,101.975501
-291.32944,35,102.091823
